Section name,Supplier name,Major width,Minor width,Thickness,Material grade,Beam connection type,Beam connection pitch,Skyciv name,Section Properties
storepro_SL_post_100_67_2,Storepro Solutions Ltd,100,67,2.0,Q345,coffin,76,storepro_SL_post_100_67_2_full,"{'hole sections': {'holes present?': True, 'A,net': 493.8681, 'Ix,net': 261527.0, 'Iy,net': 673960.0, 'Zx,net': 963665160.0, 'Zy,net': 13214.9, 'x0,net': 0, 'y0,net': -62.7428, 'J,net': 639.623, 'Iw,net': 5435110000.0, 'hole length': 25, 'hole spacing': 75}, 'fod': {'fod_c': 304, 'fod_x': 472, 'fod_y': 504}, 'fy': 345, 'fu': 470, 'E': 200000.0, 'G': 80000.0, 'Af': 541.6281, 'Ix': 291297.0, 'Iy': 714700.0, 'Zx': 11729.8, 'Zy': 9263.1427, 'x0': 0, 'y0': -58.3515, 'J': 624065.0, 'Iw': 14013.7, 'beta': -123.3762, 'brace_hole_tearout': 20, 'symmetry axes': 'y', 'is cylinder?': False, 'Ae': 493.8681, 'Zex': 9636.6516, 'Zey': 13214.9, 'is subject to distortional buckling?': True}"
storepro_SL_post_100_67_2.5,Storepro Solutions Ltd,100,67,2.5,Q345,coffin,76,storepro_SL_post_100_67_2_5_full,"{'hole sections': {'holes present?': True, 'A,net': 609.2329, 'Ix,net': 319068.0, 'Iy,net': 829566.0, 'Zx,net': 11699.9, 'Zy,net': 16186.7, 'x0,net': 0, 'y0,net': -62.5243, 'J,net': 1227.3, 'Iw,net': 89957500000.0, 'hole length': 25, 'hole spacing': 76}, 'fod': {'fod_c': 400, 'fod_x': 716, 'fod_y': 866}, 'fy': 345, 'fu': 470, 'E': 200000.0, 'G': 80000.0, 'Af': 668.9929, 'Ix': 355947.0, 'Iy': 880541.0, 'Zx': 14268.4, 'Zy': 17181.3, 'x0': 0, 'y0': -58.0867, 'J': 1372.8, 'Iw': 1384100000.0, 'beta': 123.3359, 'brace_hole_tearout': 20, 'symmetry axes': 'y', 'is cylinder?': False, 'Ae': 668.9929, 'Zex': 14268.4, 'Zey': 17181.3, 'is subject to distortional buckling?': True}"
